"stimulusFile","stimulus","accuracy","rt","participant","gender","age","condition","stimulus_category"
"stimuliBlock1.xlsx","Juist",1,1282,114,"f",24,2,"true"
"stimuliBlock1.xlsx","Mis",1,1322,114,"f",24,2,"false"
"stimuliBlock1.xlsx","Correct",1,1248,114,"f",24,2,"true"
"stimuliBlock1.xlsx","Verkeerd",1,1338,114,"f",24,2,"false"
"stimuliBlock1.xlsx","Fout",1,1251,114,"f",24,2,"false"
"stimuliBlock1.xlsx","In orde",1,1270,114,"f",24,2,"true"
"stimuliBlock1.xlsx","Exact",1,1305,114,"f",24,2,"true"
"stimuliBlock1.xlsx","Goed",1,1928,115,"f",18,3,"true"
"stimuliBlock1.xlsx","Correct",1,1887,115,"f",18,3,"true"
"stimuliBlock1.xlsx","Juist",1,1354,115,"f",18,3,"true"
"stimuliBlock1.xlsx","Onjuist",1,1421,115,"f",18,3,"false"
"stimuliBlock1.xlsx","Mis",1,1356,115,"f",18,3,"false"
"stimuliBlock1.xlsx","Exact",1,1374,115,"f",18,3,"true"
"stimuliBlock1.xlsx","Fout",1,1807,115,"f",18,3,"false"
"stimuliBlock1.xlsx","In orde",1,1435,115,"f",18,3,"true"
"stimuliBlock1.xlsx","Verkeerd",1,1407,115,"f",18,3,"false"
"stimuliBlock1.xlsx","Incorrect",1,1858,115,"f",18,3,"false"
"stimuliBlock1.xlsx","Mis",1,1370,115,"f",18,3,"false"
"stimuliBlock1.xlsx","Verkeerd",1,2097,115,"f",18,3,"false"
"stimuliBlock1.xlsx","Incorrect",1,1420,115,"f",18,3,"false"
"stimuliBlock1.xlsx","Goed",1,1610,115,"f",18,3,"true"
"stimuliBlock1.xlsx","Exact",1,1256,115,"f",18,3,"true"
"stimuliBlock1.xlsx","Juist",1,1170,115,"f",18,3,"true"
"stimuliBlock1.xlsx","Fout",1,1290,115,"f",18,3,"false"
"stimuliBlock1.xlsx","Onjuist",1,1357,115,"f",18,3,"false"
"stimuliBlock1.xlsx","In orde",1,1408,115,"f",18,3,"true"
"stimuliBlock1.xlsx","Correct",1,1323,115,"f",18,3,"true"
"stimuliBlock1.xlsx","Fout",1,2613,116,"m",22,4,"false"
"stimuliBlock1.xlsx","Verkeerd",1,1364,116,"m",22,4,"false"
"stimuliBlock1.xlsx","Correct",1,1320,116,"m",22,4,"true"
"stimuliBlock1.xlsx","Onjuist",1,1385,116,"m",22,4,"false"
"stimuliBlock1.xlsx","Incorrect",1,1775,116,"m",22,4,"false"
